Drug,Disease,LossDiff
"1,7-dimethylxanthine",Head and Neck Squamous Cell Carcinoma,0.0006483862847845967
"1,7-dimethylxanthine",Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0005736401677131686
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Kidney Renal Papillary Cell Carcinoma,0.00038628634548829033
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Thyroid Carcinoma,-0.0001243091442368279
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Liver Hepatocellular Carcinoma,0.0012231661138584204
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Breast Invasive Carcinoma,0.00017136141069331033
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Prostate Adenocarcinoma,2.092196824935604e-06
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Bladder Urothelial Carcinoma,0.0006064329979432626
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Stomach Adenocarcinoma,0.00043539011279963846
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Lung Squamous Cell Carcinoma,0.0006531509090282217
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Ovarian Serous Cystadenocarcinoma,0.00013154412146232364
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Brain Lower Grade Glioma,0.0004731108225912162
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Skin Cutaneous Melanoma,0.0008610672857474633
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Lung Adenocarcinoma,0.0008237411399413253
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Kidney Renal Clear Cell Carcinoma,-0.0003663949381846776
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Colon Adenocarcinoma,0.0007129040400320142
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Uterine Corpus Endometrial Carcinoma,-5.5906180020526274e-05
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Head and Neck Squamous Cell Carcinoma,0.0006344107353142392
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0006155650453133959
"3,4-methylenedioxymethamphetamine",Kidney Renal Papillary Cell Carcinoma,0.0005157177509677868
"3,4-methylenedioxymethamphetamine",Thyroid Carcinoma,0.0001904200339181813
"3,4-methylenedioxymethamphetamine",Liver Hepatocellular Carcinoma,0.00010323086570741546
"3,4-methylenedioxymethamphetamine",Breast Invasive Carcinoma,0.00010326667977573755
"3,4-methylenedioxymethamphetamine",Prostate Adenocarcinoma,-3.872233025648746e-06
"3,4-methylenedioxymethamphetamine",Bladder Urothelial Carcinoma,0.0006945984893374834
"3,4-methylenedioxymethamphetamine",Stomach Adenocarcinoma,0.0012845021952610281
"3,4-methylenedioxymethamphetamine",Lung Squamous Cell Carcinoma,-0.0002617810849909752
"3,4-methylenedioxymethamphetamine",Ovarian Serous Cystadenocarcinoma,6.417684531334622e-05
"3,4-methylenedioxymethamphetamine",Brain Lower Grade Glioma,0.000612079262036569
"3,4-methylenedioxymethamphetamine",Skin Cutaneous Melanoma,0.0006918566612409416
"3,4-methylenedioxymethamphetamine",Lung Adenocarcinoma,0.0006246344335431476
"3,4-methylenedioxymethamphetamine",Kidney Renal Clear Cell Carcinoma,0.00017085457077392618
"3,4-methylenedioxymethamphetamine",Colon Adenocarcinoma,0.0004152394706588958
"3,4-methylenedioxymethamphetamine",Uterine Corpus Endometrial Carcinoma,0.0006315832274451316
"3,4-methylenedioxymethamphetamine",Head and Neck Squamous Cell Carcinoma,0.0001695859704526126
"3,4-methylenedioxymethamphetamine",Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,-0.00011264164339410687
4-hydroxycyclophosphamide,Kidney Renal Papillary Cell Carcinoma,0.0002909086789186388
4-hydroxycyclophosphamide,Thyroid Carcinoma,0.00038211249153722454
4-hydroxycyclophosphamide,Liver Hepatocellular Carcinoma,-0.00039356726798017716
4-hydroxycyclophosphamide,Breast Invasive Carcinoma,0.000718889308311127
4-hydroxycyclophosphamide,Prostate Adenocarcinoma,2.963854231530765e-05
4-hydroxycyclophosphamide,Bladder Urothelial Carcinoma,0.00112628611942025
4-hydroxycyclophosphamide,Stomach Adenocarcinoma,0.001915223672114208
4-hydroxycyclophosphamide,Lung Squamous Cell Carcinoma,0.0014271838229574785
4-hydroxycyclophosphamide,Ovarian Serous Cystadenocarcinoma,0.0008159596113423318
4-hydroxycyclophosphamide,Brain Lower Grade Glioma,0.0010919461311157397
4-hydroxycyclophosphamide,Skin Cutaneous Melanoma,0.0010285495173242066
4-hydroxycyclophosphamide,Lung Adenocarcinoma,0.0005725540924479966
4-hydroxycyclophosphamide,Kidney Renal Clear Cell Carcinoma,0.00046418228401585716
4-hydroxycyclophosphamide,Colon Adenocarcinoma,0.0006385295137912583
4-hydroxycyclophosphamide,Uterine Corpus Endometrial Carcinoma,0.00027467505931165205
4-hydroxycyclophosphamide,Head and Neck Squamous Cell Carcinoma,0.001004167786104393
4-hydroxycyclophosphamide,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.00090225435116075
8-oxo-dgtp,Kidney Renal Papillary Cell Carcinoma,-0.00011246704249526229
8-oxo-dgtp,Thyroid Carcinoma,-4.4659042561596975e-05
8-oxo-dgtp,Liver Hepatocellular Carcinoma,1.3533909691376688e-05
8-oxo-dgtp,Breast Invasive Carcinoma,0.00012367049550173758
8-oxo-dgtp,Prostate Adenocarcinoma,-3.915760905324291e-06
8-oxo-dgtp,Bladder Urothelial Carcinoma,0.00029524684000235
8-oxo-dgtp,Stomach Adenocarcinoma,-8.304561946694821e-05
8-oxo-dgtp,Lung Squamous Cell Carcinoma,0.0001842894741266532
8-oxo-dgtp,Ovarian Serous Cystadenocarcinoma,0.0002643987717319884
8-oxo-dgtp,Brain Lower Grade Glioma,-0.00017895793061122322
8-oxo-dgtp,Skin Cutaneous Melanoma,0.0003020759060494482
8-oxo-dgtp,Lung Adenocarcinoma,0.00021625495350775515
8-oxo-dgtp,Kidney Renal Clear Cell Carcinoma,-0.00014651675636951912
8-oxo-dgtp,Colon Adenocarcinoma,0.0007003759560377687
8-oxo-dgtp,Uterine Corpus Endometrial Carcinoma,0.00020586918720879587
8-oxo-dgtp,Head and Neck Squamous Cell Carcinoma,0.0002695667562145787
8-oxo-dgtp,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0005993277782743639
abacavir,Kidney Renal Papillary Cell Carcinoma,-7.673471523234054e-05
abacavir,Thyroid Carcinoma,0.0001499831761148821
abacavir,Liver Hepatocellular Carcinoma,-4.6800968835380986e-05
abacavir,Breast Invasive Carcinoma,0.0007241646350688025
abacavir,Prostate Adenocarcinoma,0.00014389397759662084
abacavir,Bladder Urothelial Carcinoma,0.0031352407007253723
abacavir,Stomach Adenocarcinoma,0.0007283481107540624
abacavir,Lung Squamous Cell Carcinoma,0.001665448380521606
abacavir,Ovarian Serous Cystadenocarcinoma,-0.00044445120991762896
abacavir,Brain Lower Grade Glioma,0.0003048955221329086
abacavir,Skin Cutaneous Melanoma,0.0015321292614546068
abacavir,Lung Adenocarcinoma,0.0014067795318760568
abacavir,Kidney Renal Clear Cell Carcinoma,0.0006168799216930476
abacavir,Colon Adenocarcinoma,0.0024435809274581
abacavir,Uterine Corpus Endometrial Carcinoma,0.0008257704198752714
abacavir,Head and Neck Squamous Cell Carcinoma,0.0016774795230875216
abacavir,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0011262951113960972
abciximab,Kidney Renal Papillary Cell Carcinoma,0.0011498386406457173
abciximab,Thyroid Carcinoma,0.00021259625526991177
abciximab,Liver Hepatocellular Carcinoma,0.0008106938876015657
abciximab,Breast Invasive Carcinoma,0.0007485092116434944
abciximab,Prostate Adenocarcinoma,0.0004090532323325189
abciximab,Bladder Urothelial Carcinoma,0.0026492442408311166
abciximab,Stomach Adenocarcinoma,0.0006141514582328145
abciximab,Lung Squamous Cell Carcinoma,0.0008966876740565954
abciximab,Ovarian Serous Cystadenocarcinoma,0.0004876075905947408
abciximab,Brain Lower Grade Glioma,4.8852669489007905e-05
abciximab,Skin Cutaneous Melanoma,0.0011924751792242727
abciximab,Lung Adenocarcinoma,0.0006875556067786892
abciximab,Kidney Renal Clear Cell Carcinoma,0.0003080278291151983
abciximab,Colon Adenocarcinoma,0.0020305826362957357
abciximab,Uterine Corpus Endometrial Carcinoma,0.00040113642551651283
abciximab,Head and Neck Squamous Cell Carcinoma,0.0008510235148637913
abciximab,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.001133510632948434
abiraterone,Kidney Renal Papillary Cell Carcinoma,0.0002450578490222566
abiraterone,Thyroid Carcinoma,-0.0005219697105613652
abiraterone,Liver Hepatocellular Carcinoma,0.0011584510772571278
abiraterone,Breast Invasive Carcinoma,0.00039997589840788385
abiraterone,Prostate Adenocarcinoma,4.479436208926473e-05
abiraterone,Bladder Urothelial Carcinoma,0.0008402883316681597
abiraterone,Stomach Adenocarcinoma,0.00026234639992218646
abiraterone,Lung Squamous Cell Carcinoma,0.0005818046096248031
abiraterone,Ovarian Serous Cystadenocarcinoma,1.0306660808789836e-05
abiraterone,Brain Lower Grade Glioma,0.0004479822306289849
abiraterone,Skin Cutaneous Melanoma,0.0005053117086218029
abiraterone,Lung Adenocarcinoma,0.0003091664398848226
abiraterone,Kidney Renal Clear Cell Carcinoma,5.2050667313408014e-05
abiraterone,Colon Adenocarcinoma,0.0010784234839139705
abiraterone,Uterine Corpus Endometrial Carcinoma,0.00029786392972854794
abiraterone,Head and Neck Squamous Cell Carcinoma,0.0007605494430222403
abiraterone,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0010332735424691986
"Ace Inhibitors, Plain",Kidney Renal Papillary Cell Carcinoma,1.2194028208201146e-05
"Ace Inhibitors, Plain",Thyroid Carcinoma,0.0001988403414460719
"Ace Inhibitors, Plain",Liver Hepatocellular Carcinoma,3.9014105294543636e-05
"Ace Inhibitors, Plain",Breast Invasive Carcinoma,0.0003143630956458088
"Ace Inhibitors, Plain",Prostate Adenocarcinoma,0.0002907015899796776
"Ace Inhibitors, Plain",Bladder Urothelial Carcinoma,0.002281708980459307
"Ace Inhibitors, Plain",Stomach Adenocarcinoma,-9.660992574022087e-05
"Ace Inhibitors, Plain",Lung Squamous Cell Carcinoma,0.003131558545765345
"Ace Inhibitors, Plain",Ovarian Serous Cystadenocarcinoma,0.0008682526699939075
"Ace Inhibitors, Plain",Brain Lower Grade Glioma,0.00044557887515791485
"Ace Inhibitors, Plain",Skin Cutaneous Melanoma,0.001218663563945488
"Ace Inhibitors, Plain",Lung Adenocarcinoma,0.00223014065274314
"Ace Inhibitors, Plain",Kidney Renal Clear Cell Carcinoma,0.000560800226835112
"Ace Inhibitors, Plain",Colon Adenocarcinoma,0.002272796625875706
"Ace Inhibitors, Plain",Uterine Corpus Endometrial Carcinoma,0.000726701747559233
"Ace Inhibitors, Plain",Head and Neck Squamous Cell Carcinoma,0.002650568509464901
"Ace Inhibitors, Plain",Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0017492769116705137
acenocoumarol,Kidney Renal Papillary Cell Carcinoma,0.0005580691991124598
acenocoumarol,Thyroid Carcinoma,-0.00023561605167660393
acenocoumarol,Liver Hepatocellular Carcinoma,0.0016950525938859706
acenocoumarol,Breast Invasive Carcinoma,0.00047121789774688395
acenocoumarol,Prostate Adenocarcinoma,8.15324928061877e-05
acenocoumarol,Bladder Urothelial Carcinoma,0.002553134756153408
acenocoumarol,Stomach Adenocarcinoma,0.0011034116663421246
acenocoumarol,Lung Squamous Cell Carcinoma,0.0013849959010458824
acenocoumarol,Ovarian Serous Cystadenocarcinoma,0.0007239932349665246
acenocoumarol,Brain Lower Grade Glioma,0.0007162295603492241
acenocoumarol,Skin Cutaneous Melanoma,0.0012280197217090284
acenocoumarol,Lung Adenocarcinoma,0.0006411925391262008
acenocoumarol,Kidney Renal Clear Cell Carcinoma,-0.0004900807314194399
acenocoumarol,Colon Adenocarcinoma,0.001444988954426063
acenocoumarol,Uterine Corpus Endometrial Carcinoma,0.0004108885820881758
acenocoumarol,Head and Neck Squamous Cell Carcinoma,0.0014765218278477766
acenocoumarol,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.001965191337195307
acetaminophen,Kidney Renal Papillary Cell Carcinoma,0.0010446006956699506
acetaminophen,Thyroid Carcinoma,0.0010849847458302936
acetaminophen,Liver Hepatocellular Carcinoma,0.0007340641291258776
acetaminophen,Breast Invasive Carcinoma,0.0006388276418579253
acetaminophen,Prostate Adenocarcinoma,6.385303542648857e-05
acetaminophen,Bladder Urothelial Carcinoma,0.0030458070320706575
acetaminophen,Stomach Adenocarcinoma,0.0019417630168682477
acetaminophen,Lung Squamous Cell Carcinoma,0.0010350105835775115
acetaminophen,Ovarian Serous Cystadenocarcinoma,0.0013388840570971894
acetaminophen,Brain Lower Grade Glioma,0.0009410789530712394
acetaminophen,Skin Cutaneous Melanoma,0.0014318039010596585
acetaminophen,Lung Adenocarcinoma,0.0013238808505949828
acetaminophen,Kidney Renal Clear Cell Carcinoma,0.0019252399240548557
acetaminophen,Colon Adenocarcinoma,0.0028910779285191758
acetaminophen,Uterine Corpus Endometrial Carcinoma,-0.00015568017311233252
acetaminophen,Head and Neck Squamous Cell Carcinoma,0.001745066848503174
acetaminophen,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0022643573311242225
acetazolamide,Kidney Renal Papillary Cell Carcinoma,0.00028230906118903996
acetazolamide,Thyroid Carcinoma,0.00012791713022372968
acetazolamide,Liver Hepatocellular Carcinoma,7.196856083387936e-05
acetazolamide,Breast Invasive Carcinoma,6.843625914055296e-05
acetazolamide,Prostate Adenocarcinoma,3.0406224134230347e-05
acetazolamide,Bladder Urothelial Carcinoma,0.0003010182356005697
acetazolamide,Stomach Adenocarcinoma,-7.829741350496855e-05
acetazolamide,Lung Squamous Cell Carcinoma,-6.043996680962227e-05
acetazolamide,Ovarian Serous Cystadenocarcinoma,0.0005892328112872657
acetazolamide,Brain Lower Grade Glioma,0.00022905702254079064
acetazolamide,Skin Cutaneous Melanoma,0.0012337688253114543
acetazolamide,Lung Adenocarcinoma,4.546020673524831e-05
acetazolamide,Kidney Renal Clear Cell Carcinoma,0.00010021923253167309
acetazolamide,Colon Adenocarcinoma,0.0012869079326307486
acetazolamide,Uterine Corpus Endometrial Carcinoma,0.00020789275080653757
acetazolamide,Head and Neck Squamous Cell Carcinoma,0.00022577759880703096
acetazolamide,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0003388229147954391
acetylcholine,Kidney Renal Papillary Cell Carcinoma,5.7321372145424656e-06
acetylcholine,Thyroid Carcinoma,4.57526099952775e-05
acetylcholine,Liver Hepatocellular Carcinoma,0.00013001696542370712
acetylcholine,Breast Invasive Carcinoma,0.00032673375922467884
acetylcholine,Prostate Adenocarcinoma,4.6091441502742666e-05
acetylcholine,Bladder Urothelial Carcinoma,0.0019078102617444026
acetylcholine,Stomach Adenocarcinoma,0.001232258653020657
acetylcholine,Lung Squamous Cell Carcinoma,0.0010211906785642765
acetylcholine,Ovarian Serous Cystadenocarcinoma,0.00031333694410564663
acetylcholine,Brain Lower Grade Glioma,0.00034064222828158466
acetylcholine,Skin Cutaneous Melanoma,0.0011998360124782837
acetylcholine,Lung Adenocarcinoma,0.0014501246393796795
acetylcholine,Kidney Renal Clear Cell Carcinoma,0.0001791875580182345
acetylcholine,Colon Adenocarcinoma,0.0009449381742589081
acetylcholine,Uterine Corpus Endometrial Carcinoma,-2.0715454091985165e-05
acetylcholine,Head and Neck Squamous Cell Carcinoma,0.000798112668361739
acetylcholine,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0004765516519546542
adalimumab,Kidney Renal Papillary Cell Carcinoma,0.00021850684035161217
adalimumab,Thyroid Carcinoma,0.0004365515895187796
adalimumab,Liver Hepatocellular Carcinoma,0.00227790273595474
adalimumab,Breast Invasive Carcinoma,0.0012568076367960423
adalimumab,Prostate Adenocarcinoma,-9.611574678474116e-06
adalimumab,Bladder Urothelial Carcinoma,0.00013357703468276362
adalimumab,Stomach Adenocarcinoma,0.003478706391119457
adalimumab,Lung Squamous Cell Carcinoma,0.0003653921257573467
adalimumab,Ovarian Serous Cystadenocarcinoma,0.0009462972232951783
adalimumab,Brain Lower Grade Glioma,0.0003974150904186069
adalimumab,Skin Cutaneous Melanoma,0.0022806994390167645
adalimumab,Lung Adenocarcinoma,0.0006872349660199673
adalimumab,Kidney Renal Clear Cell Carcinoma,0.003003135959689418
adalimumab,Colon Adenocarcinoma,0.0016123343371228505
adalimumab,Uterine Corpus Endometrial Carcinoma,0.0002729459622269059
adalimumab,Head and Neck Squamous Cell Carcinoma,0.0013435872678223882
adalimumab,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.00032314314083620453
aflibercept,Kidney Renal Papillary Cell Carcinoma,0.0006127944229496973
aflibercept,Thyroid Carcinoma,-0.00018425475467335404
aflibercept,Liver Hepatocellular Carcinoma,0.0011581580440158778
aflibercept,Breast Invasive Carcinoma,0.0003984933287850101
aflibercept,Prostate Adenocarcinoma,5.486900969077538e-05
aflibercept,Bladder Urothelial Carcinoma,0.0015210837045538939
aflibercept,Stomach Adenocarcinoma,0.0028969369510531418
aflibercept,Lung Squamous Cell Carcinoma,0.0012951664033394427
aflibercept,Ovarian Serous Cystadenocarcinoma,3.7373998271528207e-06
aflibercept,Brain Lower Grade Glioma,0.0004045996206950009
aflibercept,Skin Cutaneous Melanoma,0.001388659772890244
aflibercept,Lung Adenocarcinoma,0.00013915149628623835
aflibercept,Kidney Renal Clear Cell Carcinoma,0.0022801476888931636
aflibercept,Colon Adenocarcinoma,0.003290452920274195
aflibercept,Uterine Corpus Endometrial Carcinoma,-5.542837650376331e-05
aflibercept,Head and Neck Squamous Cell Carcinoma,0.0013941176954259781
aflibercept,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0022607541219754586
afutuzumab,Kidney Renal Papillary Cell Carcinoma,0.0009479434744800008
afutuzumab,Thyroid Carcinoma,0.0003933545879342304
afutuzumab,Liver Hepatocellular Carcinoma,-0.0002719837213683851
afutuzumab,Breast Invasive Carcinoma,-5.385356789240903e-05
afutuzumab,Prostate Adenocarcinoma,5.892569916781873e-06
afutuzumab,Bladder Urothelial Carcinoma,0.00034939459499784277
afutuzumab,Stomach Adenocarcinoma,0.0006034417116318024
afutuzumab,Lung Squamous Cell Carcinoma,-0.0004743208960408918
afutuzumab,Ovarian Serous Cystadenocarcinoma,0.00043205722054440177
afutuzumab,Brain Lower Grade Glioma,2.8550344386080172e-05
afutuzumab,Skin Cutaneous Melanoma,0.00021659268444977896
afutuzumab,Lung Adenocarcinoma,0.00038695208473144005
afutuzumab,Kidney Renal Clear Cell Carcinoma,0.0008218883608396066
afutuzumab,Colon Adenocarcinoma,0.0010159529969843873
afutuzumab,Uterine Corpus Endometrial Carcinoma,0.0001066659307318918
afutuzumab,Head and Neck Squamous Cell Carcinoma,-0.0004843800201028814
afutuzumab,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.0002306476235389765
albendazole,Kidney Renal Papillary Cell Carcinoma,0.0003912130177855189
albendazole,Thyroid Carcinoma,-0.00023629634895108373
albendazole,Liver Hepatocellular Carcinoma,-1.2432211273438742e-05
albendazole,Breast Invasive Carcinoma,0.0001748915544399654
albendazole,Prostate Adenocarcinoma,3.606035626020081e-05
albendazole,Bladder Urothelial Carcinoma,0.0009596149033275659
albendazole,Stomach Adenocarcinoma,0.0008595659228319951
albendazole,Lung Squamous Cell Carcinoma,0.0005356661112550842
albendazole,Ovarian Serous Cystadenocarcinoma,0.0007952324395156029
albendazole,Brain Lower Grade Glioma,0.0002820633228527547
albendazole,Skin Cutaneous Melanoma,0.0004715051364274414
albendazole,Lung Adenocarcinoma,0.00031136611665674165
albendazole,Kidney Renal Clear Cell Carcinoma,0.00032095431708368817
albendazole,Colon Adenocarcinoma,0.0005354284093930239
albendazole,Uterine Corpus Endometrial Carcinoma,0.0003557840308439697
albendazole,Head and Neck Squamous Cell Carcinoma,0.00014316560653259146
albendazole,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.000300018665465443
aldosterone,Kidney Renal Papillary Cell Carcinoma,-0.00031498367558686067
aldosterone,Thyroid Carcinoma,8.328516374934286e-05
aldosterone,Liver Hepatocellular Carcinoma,0.0014220682190817624
aldosterone,Breast Invasive Carcinoma,0.0005709624142792857
aldosterone,Prostate Adenocarcinoma,0.00013830023016169913
aldosterone,Bladder Urothelial Carcinoma,0.0022898212291400655
aldosterone,Stomach Adenocarcinoma,0.00015137916243076476
aldosterone,Lung Squamous Cell Carcinoma,0.00014935224540555403
aldosterone,Ovarian Serous Cystadenocarcinoma,0.00027901903551015296
aldosterone,Brain Lower Grade Glioma,0.0009688081287554939
aldosterone,Skin Cutaneous Melanoma,0.0012403713737443533
aldosterone,Lung Adenocarcinoma,0.0006627419727159078
aldosterone,Kidney Renal Clear Cell Carcinoma,0.0009218200754660732
aldosterone,Colon Adenocarcinoma,0.000230544391882459
aldosterone,Uterine Corpus Endometrial Carcinoma,0.0005405217950827268
aldosterone,Head and Neck Squamous Cell Carcinoma,-0.00019046295112770117
aldosterone,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.000805108587850234
Aldosterone antagonists,Kidney Renal Papillary Cell Carcinoma,6.0293426631086165e-05
Aldosterone antagonists,Thyroid Carcinoma,5.836480889807455e-05
Aldosterone antagonists,Liver Hepatocellular Carcinoma,-0.0003572481751301426
Aldosterone antagonists,Breast Invasive Carcinoma,0.0002521793639321812
Aldosterone antagonists,Prostate Adenocarcinoma,5.0756493786889436e-05
Aldosterone antagonists,Bladder Urothelial Carcinoma,0.00047604013763569153
Aldosterone antagonists,Stomach Adenocarcinoma,0.000559363661022727
Aldosterone antagonists,Lung Squamous Cell Carcinoma,0.0011498823155665417
Aldosterone antagonists,Ovarian Serous Cystadenocarcinoma,0.0010114578263676454
Aldosterone antagonists,Brain Lower Grade Glioma,-0.00012931460219600677
Aldosterone antagonists,Skin Cutaneous Melanoma,0.0008143008835935772
Aldosterone antagonists,Lung Adenocarcinoma,0.0008872815746477248
Aldosterone antagonists,Kidney Renal Clear Cell Carcinoma,-5.896283456914286e-05
Aldosterone antagonists,Colon Adenocarcinoma,0.0008512230272277099
Aldosterone antagonists,Uterine Corpus Endometrial Carcinoma,0.0003346731004797765
Aldosterone antagonists,Head and Neck Squamous Cell Carcinoma,0.0012139984798915204
Aldosterone antagonists,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,0.00018970306624066237
alectinib,Kidney Renal Papillary Cell Carcinoma,1.3851349374260913e-05
alectinib,Thyroid Carcinoma,7.633466950866113e-06
